year,temp_mean_K,wind_speed_mean_ms,precip_total_mm,location_code,city,country,population,built_up_area_m2,gdp_ppp,hdi,pop_exposed_flood_10yr,co2_emissions_ton,ghg_emissions_ton,nox_emissions_ton,pm25_emissions_ton
2012,290.53303620218577,5.028075118555025,784.51834200628,41.9N_12.46E,Rome,Italy,2361189.9676,86884026.2,179139196.62,0.9062,114513.652,13782785.2085426,15250552.77574,19321.608939460002,17629.125643290557
2013,290.44109360730596,4.947399015260589,800.7869660720631,41.9N_12.46E,Rome,Italy,2370991.1503999997,87376448.8,173989673.48,0.9058,114971.188,13391533.5650964,14823374.536419999,18696.16260194,17089.78484044334
2014,290.9575650684931,4.929640108236904,1032.2035679687,41.9N_12.46E,Rome,Italy,2380792.3331999998,87868871.4,168840150.34,0.9054,115428.724,13000281.9216502,14396196.2971,18070.71626442,16550.44403759612
2015,290.9531803652968,4.752061897041633,735.2599564094126,41.9N_12.46E,Rome,Italy,2390593.516,88361294.0,163690627.2,0.905,115886.26,12609030.278204,13969018.05778,17445.2699269,16011.1032347489
2016,290.86044057377046,4.951895698569966,618.098138342448,41.9N_12.46E,Rome,Italy,2390593.516,88361294.0,163690627.2,0.905,115886.26,12609030.278204,13969018.05778,17445.2699269,16011.1032347489
2017,290.72609018264836,5.089308263856239,411.19392468594003,41.9N_12.46E,Rome,Italy,2390593.516,88361294.0,163690627.2,0.905,115886.26,12609030.278204,13969018.05778,17445.2699269,16011.1032347489
2018,291.2314246575342,5.009273278921579,975.7839324754577,41.9N_12.46E,Rome,Italy,2390593.516,88361294.0,163690627.2,0.905,115886.26,12609030.278204,13969018.05778,17445.2699269,16011.1032347489
1990,289.82196803652965,6.744480247079821,372.3264762545833,43.28N_5.39E,Marseille,France,828468.2743,40929870.0,93345618.93,0.788,925.56,2430192.1525739,2780002.96423,7182.138452718,3639.419562765
1991,288.9614223744292,7.229441520768954,431.2661705276998,43.28N_5.39E,Marseille,France,831032.6678200001,41280380.2,94375685.04800001,0.7954,927.966,2432891.133846318,2787717.7020521,7128.6236320562,3568.5025487597
1992,289.2696846539162,7.116730811339982,425.82420745033,43.28N_5.39E,Marseille,France,833597.06134,41630890.4,95405751.16600001,0.8028,930.372,2435590.115118736,2795432.4398742,7075.1088113944,3497.5855347544
1993,289.03903424657534,7.194280350090396,542.4053142729026,43.28N_5.39E,Marseille,France,836161.45486,41981400.6,96435817.284,0.8102,932.778,2438289.096391154,2803147.1776963,7021.5939907326,3426.6685207491
1994,289.7792899543379,7.27416808818362,431.99129662921956,43.28N_5.39E,Marseille,France,838725.84838,42331910.8,97465883.402,0.8176,935.184,2440988.077663572,2810861.9155184003,6968.0791700708,3355.7515067438003
1995,289.2991164383561,7.365778521964813,361.3879691152,43.28N_5.39E,Marseille,France,841290.2419,42682421.0,98495949.52,0.825,937.59,2443687.0589359896,2818576.6533405,6914.564349409,3284.8344927385
1996,288.872206284153,7.599513355488917,848.5687845790521,43.28N_5.39E,Marseille,France,844590.07712,43044233.0,101475446.256,0.8283999999999999,939.714,2446386.0402084077,2826291.3911626,6861.0495287472,3213.9174787332004
1997,289.9101837899543,6.679579332413982,420.93167754929885,43.28N_5.39E,Marseille,France,847889.91234,43406045.0,104454942.992,0.8318,941.8380000000001,2449085.0214808257,2834006.1289847,6807.5347080854,3143.0004647279
1998,289.11964497716895,7.364531934859582,314.73807592986003,43.28N_5.39E,Marseille,France,851189.7475599999,43767857.0,107434439.728,0.8351999999999999,943.962,2451784.002753244,2841720.8668068,6754.0198874236,3072.0834507226
1999,289.6658755707762,7.573068601924604,535.215506340002,43.28N_5.39E,Marseille,France,854489.5827799999,44129669.0,110413936.464,0.8386,946.086,2454482.984025662,2849435.6046289,6700.5050667618,3001.1664367173003
2000,289.66593123861566,7.115014675674849,424.66292270032636,43.28N_5.39E,Marseille,France,857789.418,44491481.0,113393433.2,0.842,948.21,2457181.96529808,2857150.342451,6646.9902461,2930.249422712
2001,289.576555936073,7.903004112852878,459.14197441660997,43.28N_5.39E,Marseille,France,863222.82418,44716804.6,116083328.32000001,0.8463999999999999,952.07,2481206.998819966,2886701.4365484,6607.1995021822,2902.3087570062003
2002,289.5657134703196,7.170137307623859,624.4127901933,43.28N_5.39E,Marseille,France,868656.2303599999,44942128.2,118773223.44,0.8508,955.9300000000001,2505232.032341852,2916252.5306458003,6567.408758264401,2874.3680913004
2003,290.244950913242,6.934535126412912,613.14160411,43.28N_5.39E,Marseille,France,874089.63654,45167451.8,121463118.56,0.8552,959.79,2529257.065863738,2945803.6247432,6527.6180143466,2846.4274255946
2004,289.3594706284153,7.347375342001079,488.13665174479996,43.28N_5.39E,Marseille,France,879523.0427199999,45392775.4,124153013.67999999,0.8596,963.65,2553282.099385624,2975354.7188406,6487.8272704288,2818.4867598888
2005,289.0886883561644,7.338058601357846,440.5375742993,43.28N_5.39E,Marseille,France,884956.4489,45618099.0,126842908.8,0.864,967.51,2577307.13290751,3004905.812938,6448.036526511,2790.546094183
2006,290.0829132420091,6.926410646799087,314.55086813397696,43.28N_5.39E,Marseille,France,888907.8716,45850451.8,129578967.58,0.8662,969.574,2531340.183087632,2954036.6636154,6313.750981089401,2808.2789966986
2007,289.36706050228315,7.23170791357404,407.4665539174,43.28N_5.39E,Marseille,France,892859.2943,46082804.6,132315026.36,0.8684,971.638,2485373.233267754,2903167.5142928,6179.4654356678,2826.0118992142
2008,289.37974954462663,7.32041861437027,595.4742508239716,43.28N_5.39E,Marseille,France,896810.7170000001,46315157.4,135051085.14,0.8706,973.702,2439406.283447876,2852298.3649702,6045.179890246201,2843.7448017297997
2009,289.83727739726027,7.313447306522426,558.7382702867269,43.28N_5.39E,Marseille,France,900762.1397,46547510.2,137787143.92,0.8728,975.7660000000001,2393439.333627998,2801429.2156476,5910.8943448246,2861.4777042453998
2010,288.79127397260277,7.6609321793059335,733.2408553832,43.28N_5.39E,Marseille,France,904713.5624,46779863.0,140523202.7,0.875,977.83,2347472.38380812,2750560.066325,5776.608799403,2879.210606761
2011,290.0019086757991,6.946721101554011,548.5645423891086,43.28N_5.39E,Marseille,France,906264.36878,46999525.0,141177887.72,0.8782,979.714,2256843.644117034,2650896.476295,5606.419596583,2789.7140292597996
2012,289.4816689435337,7.303055356720371,433.92226250908,43.28N_5.39E,Marseille,France,907815.17516,47219187.0,141832572.74,0.8814,981.5980000000001,2166214.904425948,2551232.886265,5436.230393763,2700.2174517586
2013,289.3551198630137,7.66234118895655,774.4460176018341,43.28N_5.39E,Marseille,France,909365.9815400001,47438849.0,142487257.76,0.8846,983.482,2075586.164734862,2451569.296235,5266.041190943,2610.7208742574
2014,290.2398710045662,7.351123754963939,548.1978019422,43.28N_5.39E,Marseille,France,910916.78792,47658511.0,143141942.78,0.8878,985.366,1984957.4250437762,2351905.706205,5095.851988123,2521.2242967562
2015,290.1283321917808,7.16847307781392,463.0433196447162,43.28N_5.39E,Marseille,France,912467.5943,47878173.0,143796627.8,0.891,987.25,1894328.68535269,2252242.116175,4925.662785303,2431.727719255
2016,289.99662340619307,7.358505129612723,392.58107911849135,43.28N_5.39E,Marseille,France,912467.5943,47878173.0,143796627.8,0.891,987.25,1894328.68535269,2252242.116175,4925.662785303,2431.727719255
2017,289.81951484018265,7.441581672023049,308.32156950810804,43.28N_5.39E,Marseille,France,912467.5943,47878173.0,143796627.8,0.891,987.25,1894328.68535269,2252242.116175,4925.662785303,2431.727719255
2018,290.55801027397257,7.063613198753224,658.0429282792896,43.28N_5.39E,Marseille,France,912467.5943,47878173.0,143796627.8,0.891,987.25,1894328.68535269,2252242.116175,4925.662785303,2431.727719255
1990,281.84415753424656,3.453712503111137,1563.4663946741177,43.64N_280.63E,Toronto,Canada,3534272.185,300517371.0,68154224.39,0.871,6306.68,36657396.184575,41139602.90325,98309.00778009,15522.65706396
1991,281.8969143835617,3.3154758359764007,1063.743293854968,43.64N_280.63E,Toronto,Canada,3596292.446,304797011.8,69834023.306,0.874,6414.696,37484754.6694273,42063247.076847,98693.386174269,15602.779063132699
1992,280.04973246812386,3.3119819762342964,1376.9794407233617,43.64N_280.63E,Toronto,Canada,3658312.707,309076652.6,71513822.222,0.877,6522.712,38312113.1542796,42986891.250444,99077.76456844801,15682.9010623054
1993,280.3037716894977,3.3970334135003797,1298.708105359457,43.64N_280.63E,Toronto,Canada,3720332.9680000003,313356293.4,73193621.138,0.88,6630.728,39139471.639131896,43910535.424041,99462.142962627,15763.0230614781
1994,280.2939178082192,3.3430127854319043,1318.874865375643,43.64N_280.63E,Toronto,Canada,3782353.2290000003,317635934.2,74873420.054,0.883,6738.744000000001,39966830.123984195,44834179.597638,99846.521356806,15843.1450606508
