year,temp_mean_K,wind_speed_mean_ms,precip_total_mm,location_code,city,country,population,built_up_area_m2,gdp_ppp,hdi,pop_exposed_flood_10yr,co2_emissions_ton,ghg_emissions_ton,nox_emissions_ton,pm25_emissions_ton
2001,282.10274200913244,3.035078696409232,951.147220999534,40.75N_286.01E,New York City,United States,13454484.352,658314845.0,225097094.14,0.910808855,115291.864,74355110.33691797,80744407.32045992,202815.59963876,26758.26923918332
2002,282.32745662100456,3.181164507849009,1265.1150941591009,40.75N_286.01E,New York City,United States,13486037.964,660235066.0,227658446.48,0.913434172,115714.478,72869819.53849082,79187127.12478994,193344.417872048,26628.406288863735
2003,280.9369805936073,3.0970226485827257,1550.215376452,40.75N_286.01E,New York City,United States,13517591.576,662155287.0,230219798.82,0.916059489,116137.092,71384528.74006368,77629846.92911996,183873.236105336,26498.54333854416
2004,281.2570377959927,3.182365179626732,1294.634842817637,40.75N_286.01E,New York City,United States,13549145.188,664075508.0,232781151.16,0.918684806,116559.706,69899237.94163653,76072566.73344998,174402.054338624,26368.68038822458
2005,281.96030593607304,3.0608747704677013,1501.3570787612,40.75N_286.01E,New York City,United States,13580698.8,665995729.0,235342503.5,0.921310123,116982.32,68413947.1432094,74515286.53778,164930.872571912,26238.817437905
2006,282.7836552511415,3.249648818024512,1379.1738724049535,40.75N_286.01E,New York City,United States,13612546.54,667950068.6,238072758.58,0.9238227814,117408.032,67033633.556148775,72993164.432844,155683.7673649502,25773.3624944654
2007,281.9394817351598,3.174520288247816,1276.0390375342,40.75N_286.01E,New York City,United States,13644394.28,669904408.2,240803013.66,0.9263354398,117833.744,65653319.96908816,71471042.327908,146436.6621579884,25307.9075510258
2008,281.78497609289616,3.0187416969521323,1591.6336483982568,40.75N_286.01E,New York City,United States,13676242.02,671858747.8,243533268.74,0.9288480982,118259.456,64273006.38202754,69948920.222972,137189.5569510266,24842.4526075862
2009,281.2990159817351,3.096668464199202,1320.72293419403,40.75N_286.01E,New York City,United States,13708089.76,673813087.4,246263523.82,0.9313607566,118685.168,62892692.79496692,68426798.118036,127942.4517440648,24376.9976641466
2012,283.458935564663,3.006926276678181,1186.73093633187,40.75N_286.01E,New York City,United States,13811055.916,679135487.8,258914719.34,0.9368987322,119997.084,62554482.43773386,67925624.10287601,117284.3937847894,23343.990565883
2013,281.6687910958904,3.109151437520922,1259.1957170374014,40.75N_286.01E,New York City,United States,13846615.124,680819518.2,263875189.56,0.9384113908,120440.186,63075534.05264764,68436098.147764,116578.9174086326,23060.214488471
2014,281.2681792237443,3.1590862445197443,1147.054724008838,40.75N_286.01E,New York City,United States,13882174.332,682503548.6,268835659.78,0.9399240494,120883.288,63596585.66756142,68946572.192652,115873.4410324758,22776.438411059
2015,282.0590559360731,3.090723265566375,1163.2885142621456,40.75N_286.01E,New York City,United States,13917733.54,684187579.0,273796130.0,0.941436708,121326.39,64117637.2824752,69457046.23754,115167.964656319,22492.662333647
2016,282.96619535519125,3.153442348647959,1064.2165575146855,40.75N_286.01E,New York City,United States,13917733.54,684187579.0,273796130.0,0.941436708,121326.39,64117637.2824752,69457046.23754,115167.964656319,22492.662333647
2017,282.44067694063926,3.1738670477331787,1357.9421960905302,40.75N_286.01E,New York City,United States,13917733.54,684187579.0,273796130.0,0.941436708,121326.39,64117637.2824752,69457046.23754,115167.964656319,22492.662333647
2018,282.32149657534245,3.152285330751998,1618.078592148713,40.75N_286.01E,New York City,United States,13917733.54,684187579.0,273796130.0,0.941436708,121326.39,64117637.2824752,69457046.23754,115167.964656319,22492.662333647
1990,290.44350342465754,4.739365402504177,665.3964529026773,41.9N_12.46E,Rome,Italy,2335681.142,72296029.0,159543256.0,0.804,113649.48,13801325.758575,14885148.95274,27027.3513792,3321.581790521
1991,289.6668926940639,4.90860415181569,815.7473454050036,41.9N_12.46E,Rome,Italy,2336325.3056,73126233.6,161578107.68,0.8104,113677.966,13764830.9364657,14889209.66658999,26692.69008947,3458.6616677182
1992,290.29343920765024,4.788548472588471,661.7834211231201,41.9N_12.46E,Rome,Italy,2336969.4692,73956438.2,163612959.36,0.8168,113706.452,13728336.1143564,14893270.38043998,26358.02879974,3595.7415449154
1993,289.91895547945205,5.0123160868218,618.6577709488334,41.9N_12.46E,Rome,Italy,2337613.6328,74786642.8,165647811.04,0.8232,113734.938,13691841.2922471,14897331.09428997,26023.36751001,3732.8214221126
1994,290.74341095890406,4.920206402726228,595.8025757957158,41.9N_12.46E,Rome,Italy,2338257.7964,75616847.4,167682662.72,0.8296,113763.424,13655346.4701378,14901391.80813996,25688.70622028,3869.9012993098
1995,289.91156621004563,5.113384186422779,529.863677422882,41.9N_12.46E,Rome,Italy,2338901.96,76447052.0,169717514.4,0.836,113791.91,13618851.6480285,14905452.521989947,25354.04493055,4006.981176507
1996,289.6944774590164,5.236334791526546,907.7449186410907,41.9N_12.46E,Rome,Italy,2329916.5844,77324065.2,173012882.92000002,0.8418,113333.278,13582356.8259192,14909513.23583994,25019.38364082,4144.0610537042
1997,290.39700570776256,4.88708243301275,761.5891002994482,41.9N_12.46E,Rome,Italy,2320931.2088,78201078.4,176308251.44,0.8476,112874.646,13545862.0038099,14913573.94968993,24684.72235109,4281.1409309014
1998,289.9592043378995,5.02805333058168,646.143617343513,41.9N_12.46E,Rome,Italy,2311945.8332,79078091.6,179603619.96,0.8533999999999999,112416.014,13509367.1817006,14917634.66353992,24350.06106136,4418.2208080986
1999,290.2601940639269,5.299022640526136,701.7644110882247,41.9N_12.46E,Rome,Italy,2302960.4576,79955104.8,182898988.48,0.8592,111957.382,13472872.359591302,14921695.37738991,24015.39977163,4555.300685295801
2000,290.57481557377054,4.98939813301099,723.508661348088,41.9N_12.46E,Rome,Italy,2293975.082,80832118.0,186194357.0,0.865,111498.75,13436377.537482,14925756.0912399,23680.7384819,4692.380562493
2001,290.44183219178086,5.251635134521296,491.45077741504,41.9N_12.46E,Rome,Italy,2296518.7458,81322587.6,187981835.88,0.871,111604.02,13813525.3142104,15299009.86722792,23534.7501393,5945.6375127874
2002,290.40386757990865,4.84355316811909,724.927246989121,41.9N_12.46E,Rome,Italy,2299062.4096,81813057.2,189769314.76,0.877,111709.29,14190673.0909388,15672263.64321594,23388.7617967,7198.8944630818005
2003,290.70388584474887,5.238437433215828,656.8995907767,41.9N_12.46E,Rome,Italy,2301606.0734,82303526.8,191556793.64,0.883,111814.56,14567820.8676672,16045517.41920396,23242.7734541,8452.151413376201
2004,290.20409266848816,4.938236675270223,829.05591708463,41.9N_12.46E,Rome,Italy,2304149.7372,82793996.4,193344272.52,0.889,111919.83,14944968.6443956,16418771.19519198,23096.7851115,9705.408363670602
2005,289.7629429223744,4.781196446059296,844.5067946119001,41.9N_12.46E,Rome,Italy,2306693.401,83284466.0,195131751.4,0.895,112025.1,15322116.421124,16792024.97118,22950.7967689,10958.665313965
2006,290.42373173515983,4.897444105775368,560.7137675248139,41.9N_12.46E,Rome,Italy,2313672.2412,83807409.0,193993049.7,0.8974,112339.796,15170750.8359862,16654601.82782,22475.13773802,12508.493700969
2007,290.37963698630136,4.916299383786925,556.1669933617,41.9N_12.46E,Rome,Italy,2320651.0814,84330352.0,192854348.0,0.8998,112654.492,15019385.2508484,16517178.68446,21999.47870714,14058.322087973
2008,290.3558117030965,4.993689826465522,912.1561691267004,41.9N_12.46E,Rome,Italy,2327629.9216,84853295.0,191715646.3,0.9022,112969.188,14868019.6657106,16379755.5411,21523.81967626,15608.150474977
